scenario,repetition,target_user,authorized_attempt,legacy_authenticated,secure_authenticated,legacy_unauthorized_access,secure_unauthorized_access,legacy_rows_exposed,secure_rows_exposed,database_intact
valid_credentials,1,student_000,True,True,True,False,False,1,1,True
valid_credentials,2,student_000,True,True,True,False,False,1,1,True
valid_credentials,3,student_000,True,True,True,False,False,1,1,True
valid_credentials,4,student_000,True,True,True,False,False,1,1,True
valid_credentials,1,student_001,True,True,True,False,False,1,1,True
valid_credentials,2,student_001,True,True,True,False,False,1,1,True
valid_credentials,3,student_001,True,True,True,False,False,1,1,True
valid_credentials,4,student_001,True,True,True,False,False,1,1,True
valid_credentials,1,student_002,True,True,True,False,False,1,1,True
valid_credentials,2,student_002,True,True,True,False,False,1,1,True
valid_credentials,3,student_002,True,True,True,False,False,1,1,True
valid_credentials,4,student_002,True,True,True,False,False,1,1,True
valid_credentials,1,student_003,True,True,True,False,False,1,1,True
valid_credentials,2,student_003,True,True,True,False,False,1,1,True
valid_credentials,3,student_003,True,True,True,False,False,1,1,True
valid_credentials,4,student_003,True,True,True,False,False,1,1,True
valid_credentials,1,student_004,True,True,True,False,False,1,1,True
valid_credentials,2,student_004,True,True,True,False,False,1,1,True
valid_credentials,3,student_004,True,True,True,False,False,1,1,True
valid_credentials,4,student_004,True,True,True,False,False,1,1,True
valid_credentials,1,student_005,True,True,True,False,False,1,1,True
valid_credentials,2,student_005,True,True,True,False,False,1,1,True
valid_credentials,3,student_005,True,True,True,False,False,1,1,True
valid_credentials,4,student_005,True,True,True,False,False,1,1,True
valid_credentials,1,student_006,True,True,True,False,False,1,1,True
valid_credentials,2,student_006,True,True,True,False,False,1,1,True
valid_credentials,3,student_006,True,True,True,False,False,1,1,True
valid_credentials,4,student_006,True,True,True,False,False,1,1,True
valid_credentials,1,student_007,True,True,True,False,False,1,1,True
valid_credentials,2,student_007,True,True,True,False,False,1,1,True
valid_credentials,3,student_007,True,True,True,False,False,1,1,True
valid_credentials,4,student_007,True,True,True,False,False,1,1,True
valid_credentials,1,student_008,True,True,True,False,False,1,1,True
valid_credentials,2,student_008,True,True,True,False,False,1,1,True
valid_credentials,3,student_008,True,True,True,False,False,1,1,True
valid_credentials,4,student_008,True,True,True,False,False,1,1,True
valid_credentials,1,student_009,True,True,True,False,False,1,1,True
valid_credentials,2,student_009,True,True,True,False,False,1,1,True
valid_credentials,3,student_009,True,True,True,False,False,1,1,True
valid_credentials,4,student_009,True,True,True,False,False,1,1,True
